week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-41,-0.09587104182135382,1.0,-0.4125203852687043,1.0,1.0
2025-42,0.05017835389246514,1.0102875445276174,0.06804049617706376,1.2709497908508764,11.0
2025-43,0.9921249812462541,1.4860858954889926,-0.34378210938360937,0.05629095906864005,11.0
2025-44,-0.09664276210180274,0.7040943163215921,-0.02202287761805338,1.0293953103361368,13.0
2025-45,-0.07250596040176689,0.9449534998561562,-0.38557208085766226,0.07116233937468762,7.0
2025-46,-0.4735058929123431,1.616515666861029,-0.4856841122569843,0.1800367661436881,3.0
2025-47,-0.5709540771091413,1.0780286972113962,0.09397878273458747,0.9549869950080162,36.0
2025-48,-0.9816743472573899,0.15468761641125048,-0.6907846363005287,0.0,2.0
2025-49,-0.5901845588437709,0.8932320454978199,1.4730246575049966,1.7533591047704582,3.0
2025-50,0.03681003335446867,0.4429174984292876,-0.17687365760086,0.2501371254056713,2.0
2025-51,1.1042686641847725,1.0,,1.0,1.0
2025-52,0.18402144556613875,0.7057451626316402,-0.31630616217858026,0.37732731928115637,6.0
2026-00,-0.02293525768529716,0.8291911234216751,0.9120095919672837,1.708695384960921,10.0
2026-01,0.6659356042964667,0.9792675008510638,0.5764308020649916,0.6148546823228451,3.0
2026-02,0.030997665890967793,0.1380821676671571,-0.23273313788422775,0.21129533254705082,4.0
2026-03,1.0600980199688792,1.0,-0.6907846363005287,1.0,2.0
2026-04,0.6192857109178131,1.252917807471246,0.2607994824149797,1.1012957822282186,4.0
2026-05,0.2581589948780628,0.1291691552121886,0.024035248184192476,0.681177708100078,2.0
2026-06,-0.8454426308220816,1.253853503985923,0.30783756135386653,1.77965916522482,4.0
2026-07,-0.14153865068460822,0.8433947240300868,-0.2427608048150295,0.49945498646783854,11.0
2026-08,0.7255770482935615,0.8320531066406673,-0.3465959621305122,0.30655073537017646,5.0
2026-09,-0.2207539742000047,0.8909896698600376,-0.2779269252095705,0.5113872470968177,9.0
2026-10,-0.20651379346820445,0.7581798407348073,0.39574952047457995,1.2749106684234002,18.0
2026-11,-0.04962976457914704,0.24439781268089253,-0.25636975867644635,0.14713335855398404,5.0
2026-12,-0.03640936402470075,0.5767843205921752,-0.2165341263659751,0.21446109499921834,7.0
2026-13,-0.39220976661057266,0.7556492861393771,-0.05764192778992903,0.8768990873866275,15.0
2026-14,0.20537253832894586,0.7531004146435538,-0.11774302295513901,0.6749412496222303,3.0
2026-15,0.28541434038063257,0.8426634278680845,-0.16686778807010008,0.7241571155726995,53.0
2026-16,-0.4807137055248509,0.9671719761160958,-0.13201173781717238,0.9182935312549522,6.0
2026-17,0.09957303546156132,0.9680295936389848,0.03449285842000201,0.9480524981548953,52.0
2026-18,0.08262014409923399,0.8759157417842826,0.025995615736004354,1.1082608118829578,42.0
