keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'+Hagel -CDU',0.03858239144865715,0.8783203560192148,0.09918323949323472,0.9986833607449142,54.0
'Ambosswolken',1.1042686641847725,1.0,,1.0,1.0
'Blitz Feuer',0.4128667606731435,0.39290895767563594,0.24868392300253747,1.1236135431342056,4.0
'Blitz und Donner',0.05209344823338306,0.5995734114813819,0.06298620627574292,0.8714673937261984,5.0
'Blitzableiter',-0.2722209906012454,1.0801332040050864,0.18834170385967627,1.0917447001105214,9.0
'Gewitter Warnung',-0.35727111029361175,0.3903284830838566,-0.3799783237592128,0.029706701927448544,5.0
'Gewitter',-0.04891255756357266,0.932625042452129,-0.0427491400748196,0.9216989324149653,190.0
'Gewitterzelle',0.13421941724648875,1.0,,1.0,1.0
'Hagel',0.4331227245657662,1.326987788987948,0.07299858434704674,1.1870469832876551,19.0
'Hagelschaden',0.001973012845341099,0.22906443150431288,0.4762374903756148,0.6735015177997208,2.0
